term,count,script
प्रतिपदार्थः,123,devanagari
विद्या,96,devanagari
पदविभागः,95,devanagari
अन्वयः,95,devanagari
तात्पर्यम्,95,devanagari
मूलम्,93,devanagari
एव,89,devanagari
अपि,86,devanagari
हि,82,devanagari
इति,71,devanagari
सुभाषित,68,devanagari
सं,65,devanagari
पाठ,56,devanagari
तु,55,devanagari
कर्म,48,devanagari
यथा,48,devanagari
यः,41,devanagari
विषं,36,devanagari
ये,36,devanagari
तथा,34,devanagari
मित्रं,34,devanagari
ते,33,devanagari
भवति,29,devanagari
धनं,27,devanagari
इव,27,devanagari
चित्ते,27,devanagari
को,27,devanagari
नैव,26,devanagari
माता,26,devanagari
कः,26,devanagari
पिता,25,devanagari
या,24,devanagari
क्षमा,24,devanagari
सह,23,devanagari
जयति,23,devanagari
चिन्ता,23,devanagari
सा,22,devanagari
च।,22,devanagari
किं,22,devanagari
वा,22,devanagari
मे,20,devanagari
रूपं,20,devanagari
तस्य,20,devanagari
वृथा,20,devanagari
याति,19,devanagari
स्नेह,19,devanagari
धनम्,18,devanagari
धर्मः,18,devanagari
पश्यति,18,devanagari
के,18,devanagari
स्वयम्,16,devanagari
केवलं,16,devanagari
पादं,16,devanagari
यस्य,16,devanagari
चिता,16,devanagari
है,16,devanagari
गच्छति,15,devanagari
दुर्जनस्य,15,devanagari
पुनः,15,devanagari
एतत्,14,devanagari
सः,14,devanagari
करोति,14,devanagari
किम्,14,devanagari
दहति,14,devanagari
अहो,14,devanagari
तेषां,13,devanagari
कृतं,13,devanagari
सत्यं,13,devanagari
भवन्ति,13,devanagari
काये,13,devanagari
राजा,13,devanagari
यत्र,13,devanagari
।।,13,devanagari
सिंहस्य,12,devanagari
शक्तिः,12,devanagari
स्वयं,12,devanagari
तत्,12,devanagari
धर्म,12,devanagari
सर्वत्र,12,devanagari
धर्मो,12,devanagari
मम,12,devanagari
कदाचन,12,devanagari
व्यये,12,devanagari
यदि,12,devanagari
चैव,11,devanagari
शीलं,11,devanagari
शिष्यः,11,devanagari
ज्ञानं,11,devanagari
क्रोधः,11,devanagari
मित्राणि,11,devanagari
समान,11,devanagari
नित्यं,11,devanagari
सुभाषितम्,11,devanagari
विद्वान्,11,devanagari
भार्या,11,devanagari
परः,11,devanagari
मृगैः,11,devanagari
नरः,11,devanagari
परं,11,devanagari
यो,11,devanagari
वाचा,11,devanagari
सर्वं,11,devanagari
जिनकी,11,devanagari
जो,11,devanagari
हैं,11,devanagari
वर्तमानेषु,10,devanagari
तिष्ठन्ति,10,devanagari
सन्ति,10,devanagari
एकं,10,devanagari
वै,10,devanagari
आयुः,10,devanagari
भुजङ्गानां,10,devanagari
भ्राता,10,devanagari
दया,10,devanagari
सखी,10,devanagari
स्यात्,10,devanagari
नीचाः,10,devanagari
पुस्तकस्था,10,devanagari
प्रज्ञा,10,devanagari
चापि,10,devanagari
पृथक्,10,devanagari
दुःखं,10,devanagari
ददाति,10,devanagari
पदे,10,devanagari
कुलं,10,devanagari
मा,10,devanagari
मनसा,10,devanagari
भवेत्॥,10,devanagari
वि,10,devanagari
पाठः,10,devanagari
गते,9,devanagari
कुर्वीत,9,devanagari
कुर्वन्ति,9,devanagari
वृक्षाः,9,devanagari
येन,9,devanagari
शकटं,9,devanagari
पञ्चहस्तेषु,9,devanagari
पयःपानं,9,devanagari
वृश्चिकस्य,9,devanagari
तक्षकस्य,9,devanagari
पादम्,9,devanagari
क्षीयते,9,devanagari
शान्तिः,9,devanagari
मातृवत्,9,devanagari
आत्मवत्,9,devanagari
नास्ति,9,devanagari
आदौ,9,devanagari
परित्यज्य,9,devanagari
तस्मात्,9,devanagari
दानं,9,devanagari
प्रभवः,9,devanagari
तथैव,9,devanagari
भुवनं,9,devanagari
विजानाति,9,devanagari
तव,9,devanagari
वात,9,devanagari
तं,9,devanagari
मैं,9,devanagari
प्रणाम,9,devanagari
करता,9,devanagari
उद्यमेन,8,devanagari
कालेषु,8,devanagari
वर्तयन्ति,8,devanagari
विवादाय,8,devanagari
परार्थाय,8,devanagari
गच्छन्,8,devanagari
बन्धाय,8,devanagari
शत्रुः,8,devanagari
शोभते,8,devanagari
वित्तं,8,devanagari
दशहस्तेषु,8,devanagari
वाजिनम्,8,devanagari
गजं,8,devanagari
वर्तते,8,devanagari
आदत्ते,8,devanagari
शुभाशुभम्,8,devanagari
सत्यम्,8,devanagari
पुत्रः,8,devanagari
सर्वभूतेषु,8,devanagari
पण्डिताः,8,devanagari
कार्यकाले,8,devanagari
अदाता,8,devanagari
सम्पद्यते,8,devanagari
ततः,8,devanagari
आयुषः,8,devanagari
कृतम्,8,devanagari
अहनि,8,devanagari
कालः,8,devanagari
कानि,8,devanagari
देशः,8,devanagari
अहं,8,devanagari
मुहुः,8,devanagari
प्राणाः,8,devanagari
प्राण,8,devanagari
आये,8,devanagari
निर्जीवं,8,devanagari
महात्मनाम्,8,devanagari
अन्यत्,8,devanagari
विद्यया,8,devanagari
कुरुते,8,devanagari
pratipadārthaḥ,123,iast
vidyā,103,iast
padavibhāgaḥ,95,iast
anvayaḥ,95,iast
tātparyam,95,iast
mūlam,94,iast
upaniṣad,49,iast
pāṭha,45,iast
varuṇa,42,iast
yathā,38,iast
viṣaṃ,33,iast
yaḥ,32,iast
tathā,31,iast
ṛtá,31,iast
mitraṃ,30,iast
dhanaṃ,27,iast
pitā,27,iast
kṣamā,26,iast
kaḥ,26,iast
mātā,25,iast
sūtra,23,iast
dhī,23,iast
cintā,21,iast
yāti,20,iast
dharmaḥ,20,iast
rūpaṃ,20,iast
subhāṣitam,20,iast
vṛthā,20,iast
dhātu,19,iast
brahmā,19,iast
saṃhitā,19,iast
duḥkha,18,iast
paśyati,18,iast
surabhā,16,iast
śiva,16,iast
brāhmaṇa,16,iast
mahā,15,iast
bhū,15,iast
tataḥ,15,iast
punaḥ,15,iast
prāṇa,15,iast
manasā,15,iast
bhāryā,14,iast
ātman,14,iast
vidvān,14,iast
pādaṃ,14,iast
dadāti,14,iast
naraḥ,14,iast
dhāryate,14,iast
kāla,13,iast
rājā,13,iast
anudātta,13,iast
śam,13,iast
gṛhya,13,iast
bhagavān,12,iast
dhā,12,iast
śaktiḥ,12,iast
ekaṃ,12,iast
saḥ,12,iast
janaḥ,12,iast
krodhaḥ,12,iast
viṣṇu,12,iast
prajñā,12,iast
kiṃ,12,iast
kṛtam,12,iast
vidyayā,12,iast
prakāśayet,12,iast
parā,11,iast
guṇa,11,iast
ṛṣi,11,iast
ātmanaḥ,11,iast
kevalaṃ,11,iast
pādam,11,iast
kṛtaṃ,11,iast
kadācana,11,iast
nityaṃ,11,iast
pṛthak,11,iast
tasmāt,11,iast
sātam,11,iast
jīvati,11,iast
viśvaset,11,iast
bhā,11,iast
devā,11,iast
purāṇa,10,iast
pūrva,10,iast
siṃhasya,10,iast
pañca,10,iast
viṣam,10,iast
ādatte,10,iast
puruṣaḥ,10,iast
kāye,10,iast
mitrāṇi,10,iast
citā,10,iast
mṛgaiḥ,10,iast
buddhiḥ,10,iast
paraṃ,10,iast
pāṇini,10,iast
śāstra,10,iast
rūpa,9,iast
vāc,9,iast
dānāya,9,iast
vṛkṣāḥ,9,iast
śīlaṃ,9,iast
śatruḥ,9,iast
āyuḥ,9,iast
vājinam,9,iast
bhujaṅgānāṃ,9,iast
viṣa,9,iast
kṣīyate,9,iast
koṭi,9,iast
jñānaṃ,9,iast
bhrātā,9,iast
pustakasthā,9,iast
kārya,9,iast
nāsti,9,iast
duḥkhaṃ,9,iast
pūjyate,9,iast
ayaṃ,9,iast
paraḥ,9,iast
dānam,9,iast
vācā,9,iast
kulaṃ,9,iast
vijānāti,9,iast
yaṃ,9,iast
rāmāyaṇa,9,iast
kaśyapa,9,iast
ṛgveda,9,iast
uvāca,9,iast
naḥ,9,iast
ādi,8,iast
mayā,8,iast
mṛgāḥ,8,iast
tiṣṭhanti,8,iast
śobhate,8,iast
śobhante,8,iast
durjanaḥ,8,iast
payaḥpānaṃ,8,iast
vṛścikasya,8,iast
śiraḥ,8,iast
takṣakasya,8,iast
dayā,8,iast
śāntiḥ,8,iast
bāndhavāḥ,8,iast
satyaṃ,8,iast
nīcāḥ,8,iast
jarā,8,iast
muhuḥ,8,iast
prāṇāḥ,8,iast
āye,8,iast
pṛthivyām,8,iast
ataḥ,8,iast
grāhyaṃ,8,iast
saṃrohati,8,iast
vidyāṃ,8,iast
bhuvanaṃ,8,iast
sūrya,8,iast
āyāti,8,iast
śrī,8,iast
namaḥ,8,iast
kanyā,7,iast
kāma,7,iast
tvā,7,iast
sthā,7,iast
bhūta,7,iast
praviśanti,7,iast
vartamāneṣu,7,iast
kāleṣu,7,iast
vivādāya,7,iast
madāya,7,iast
paripīḍanāya,7,iast
jñānāya,7,iast
rakṣaṇāya,7,iast
bandhāya,7,iast
śrutvā,7,iast
vicāryatām,7,iast
pratikūlāni,7,iast
samācaret,7,iast
matiḥ,7,iast
vyasaneṣu,7,iast
vairī,7,iast
pāṭhitaḥ,7,iast
sabhāmadhye,7,iast
haṃsamadhye,7,iast
nirgandhāḥ,7,iast
kiṃśukāḥ,7,iast
sṛjyante,7,iast
dehinaḥ,7,iast
gajaṃ,7,iast
sthāna,7,iast
ācāryāt,7,iast
śiṣyaḥ,7,iast
kālakrameṇa,7,iast
avaśyam,7,iast
sakhī,7,iast
putraḥ,7,iast
syāt,7,iast
mātṛvat,7,iast
ātmavat,7,iast
paṇḍitaḥ,7,iast
pārthivāḥ,7,iast
