tag,year,count
словарь,2015,114
словарь,2016,68
словарь,2017,45
словарь,2018,29
словарь,2019,50
словарь,2020,25
словарь,2021,42
словарь,2022,70
словарь,2023,55
словарь,2024,59
словарь,2025,45
словарь,2026,16
учебник,2015,87
учебник,2016,33
учебник,2017,35
учебник,2018,30
учебник,2019,63
учебник,2020,39
учебник,2021,32
учебник,2022,86
учебник,2023,76
учебник,2024,57
учебник,2025,70
учебник,2026,22
книга,2015,52
книга,2016,39
книга,2017,43
книга,2018,28
книга,2019,89
книга,2020,55
книга,2021,78
книга,2022,146
книга,2023,251
книга,2024,69
книга,2025,51
книга,2026,35
pdf,2015,59
pdf,2016,25
pdf,2017,16
pdf,2018,6
pdf,2019,9
pdf,2020,2
pdf,2021,12
pdf,2022,5
pdf,2023,1
pdf,2024,7
pdf,2025,4
шрифт,2015,10
шрифт,2016,14
шрифт,2017,20
шрифт,2018,17
шрифт,2019,14
шрифт,2020,11
шрифт,2021,15
шрифт,2022,31
шрифт,2023,47
шрифт,2024,25
шрифт,2025,25
шрифт,2026,12
текст,2015,75
текст,2016,38
текст,2017,63
текст,2018,39
текст,2019,192
текст,2020,104
текст,2021,85
текст,2022,193
текст,2023,223
текст,2024,163
текст,2025,123
текст,2026,63
лингвистика,2015,177
лингвистика,2016,121
лингвистика,2017,98
лингвистика,2018,96
лингвистика,2019,171
лингвистика,2020,158
лингвистика,2021,232
лингвистика,2022,356
лингвистика,2023,380
лингвистика,2024,256
лингвистика,2025,252
лингвистика,2026,101
событие,2015,23
событие,2016,14
событие,2017,14
событие,2018,15
событие,2019,28
событие,2020,7
событие,2021,31
событие,2022,99
событие,2023,93
событие,2024,121
событие,2025,129
событие,2026,60
разное,2015,278
разное,2016,423
разное,2017,310
разное,2018,398
разное,2019,477
разное,2020,523
разное,2021,414
разное,2022,242
разное,2023,189
разное,2024,266
разное,2025,191
разное,2026,67
